KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Podstawowa - F LUKSUSOWE,Plug-in Hybrid (PHEV),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - F LUKSUSOWE,Elektryczny (BEV),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - F LUKSUSOWE,Wodór (FCEV),"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - F LUKSUSOWE,LPG,"0,42","0,35","0,29","0,24","0,17","0,13","0,09","0,06"
Podstawowa - G SUPER LUKSUSOWE,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Podstawowa - G SUPER LUKSUSOWE,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - A MINI,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - B MAŁE,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Diesel (ON),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Diesel mHEV (ON-mHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Hybryda (HEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Plug-in Hybrid (PHEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Elektryczny (BEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,Wodór (FCEV),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - D ŚREDNIA,LPG,"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
Sportowo-rekreacyjne - E WYŻSZA,Benzyna (PB),"0,44","0,38","0,33","0,3","0,24","0,19","0,15","0,11"
